timeframe,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,breadth_threshold,gross_cap,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_active_ratio,train_monthly_hit,train_score
1d,7,14,1,5,0.6,0.0,0.5,1.5,0.0004,-0.05724511633808127,-0.73538082066708,-0.14817431176145168,0.23655913978494625,0.25,-10.123023207269068
1d,7,14,1,5,1.0,0.0,0.5,1.5,0.0004,-0.059559903718124585,-0.5743690711064985,-0.16946537027405462,0.23655913978494625,0.25,-10.507540830537625
1d,7,14,1,5,0.8,0.0,0.5,1.5,0.0004,-0.06302347360219962,-0.6858117753693096,-0.16317950856284646,0.23655913978494625,0.25,-11.128247563254813
1d,7,14,1,10,0.6,0.0,0.5,1.5,0.0004,-0.06131381442319861,-1.1052191283434487,-0.1292404133940971,0.23655913978494625,0.25,-11.527059127631688
1d,3,14,1,5,0.6,0.05,0.5,1.5,0.0004,-0.020091257096901294,-2.0038843406872404,-0.020091257096901294,0.010752688172043012,0.0,-12.889643229798716
1d,3,14,1,5,0.8,0.05,0.5,1.5,0.0004,-0.026786394343377373,-2.0038843406872404,-0.026786394343377373,0.010752688172043012,0.0,-13.860438130537748
1d,3,14,2,5,0.6,0.05,0.5,1.5,0.0004,-0.02853945678940295,-2.002653857398433,-0.02853945678940295,0.010752688172043012,0.0,-14.108479768767422
1d,3,14,1,10,0.6,0.05,0.5,1.5,0.0004,-0.029153635961172375,-2.0038843406872404,-0.029153635961172375,0.010752688172043012,0.0,-14.203688165118024
1d,3,14,1,5,1.0,0.05,0.5,1.5,0.0004,-0.033480557363607666,-2.0038843406872404,-0.033480557363607666,0.010752688172043012,0.0,-14.83109176847114
1d,7,14,1,10,1.0,0.0,0.5,1.5,0.0004,-0.08193311254915436,-0.9049424640939396,-0.18443876639118284,0.23655913978494625,0.25,-15.071531503848576
1d,7,14,1,10,0.8,0.0,0.5,1.5,0.0004,-0.08118499360923148,-1.091003122279412,-0.16775426210330413,0.23655913978494625,0.25,-15.176220207829111
1d,3,14,2,5,0.8,0.05,0.5,1.5,0.0004,-0.03804889227928232,-2.0026538573984327,-0.03804889227928232,0.010752688172043012,0.0,-15.487347914799926
1d,3,14,1,10,0.8,0.05,0.5,1.5,0.0004,-0.03886741118920889,-2.00388434068724,-0.03886741118920889,0.010752688172043012,0.0,-15.612185573183318
1d,3,14,2,10,0.6,0.05,0.5,1.5,0.0004,-0.04093734161818352,-2.0026742284032455,-0.04093734161818352,0.010752688172043012,0.0,-15.906274923964666
1d,3,14,2,5,1.0,0.05,0.5,1.5,0.0004,-0.04755646938253422,-2.0026538573984327,-0.04755646938253422,0.010752688172043012,0.0,-16.865946594771454
1d,3,14,1,10,1.0,0.05,0.5,1.5,0.0004,-0.048579134704402116,-2.0038843406872413,-0.048579134704402116,0.010752688172043012,0.0,-17.02038548288634
1d,3,14,2,10,0.8,0.05,0.5,1.5,0.0004,-0.05457546545548375,-2.002674228403245,-0.05457546545548375,0.010752688172043012,0.0,-17.8838028803732
1d,3,14,2,10,1.0,0.05,0.5,1.5,0.0004,-0.057775366825964736,-2.0026742284032464,-0.057775366825964736,0.010752688172043012,0.0,-18.347788579092946
1d,3,10,1,10,0.6,0.02,0.5,1.5,0.0004,-0.0739115967670173,-2.182176931894593,-0.09124897423534828,0.0967741935483871,0.0,-22.02115140257182
1d,5,14,1,10,0.6,0.0,0.5,1.5,0.0004,-0.09597497339500416,-2.356511419678841,-0.15475448222757893,0.1827956989247312,0.25,-22.612823342436748
1d,3,14,1,5,0.6,0.0,0.5,1.5,0.0004,-0.12717548883141294,-1.5530464260700496,-0.17889329823712474,0.22580645161290322,0.25,-22.629753627710546
1d,7,14,2,5,0.6,0.0,0.5,1.5,0.0004,-0.12005867232897105,-1.6809031943335593,-0.19019437318215904,0.23655913978494625,0.25,-23.022893438622276
1d,3,10,1,5,0.6,0.05,0.5,1.5,0.0004,-0.04762452023785935,-3.403378669717796,-0.04762452023785935,0.03225806451612903,0.0,-23.793416525014067
1d,7,14,2,5,0.8,0.0,0.5,1.5,0.0004,-0.12444235003730486,-1.6291153008368642,-0.20372038878920395,0.23655913978494625,0.25,-23.810992444289205
1d,3,10,1,10,0.6,0.05,0.5,1.5,0.0004,-0.05615960462783065,-3.298652787992246,-0.05615960462783065,0.03225806451612903,0.0,-24.507374352932157
1d,3,10,1,5,0.6,0.02,0.5,1.5,0.0004,-0.08220360612582178,-2.479801564925436,-0.09784068545227997,0.0967741935483871,0.0,-24.63510250836841
1d,7,14,2,10,0.6,0.0,0.5,1.5,0.0004,-0.12446652261276725,-1.8904043898551783,-0.19570302285105823,0.23655913978494625,0.25,-24.759073679710454
1d,3,10,1,5,0.8,0.05,0.5,1.5,0.0004,-0.057185505643136736,-3.3885310655408873,-0.057185505643136736,0.03225806451612903,0.0,-25.105521387894747
1d,3,10,1,10,0.8,0.02,0.5,1.5,0.0004,-0.09646946004088852,-2.1511140404197673,-0.1188830178152912,0.0967741935483871,0.0,-25.365155233682245
1d,3,10,1,5,1.0,0.05,0.5,1.5,0.0004,-0.0667030281273785,-3.3402761517255746,-0.0667030281273785,0.03225806451612903,0.0,-26.244287579033237
1d,7,14,2,10,0.8,0.0,0.5,1.5,0.0004,-0.13730981003903964,-1.7610587768764288,-0.21849825981298765,0.23655913978494625,0.25,-26.422460020730767
